State,Open Carry Handgun,Rate Per 100000
Alabama,Yes,17.79
Alaska,Yes,19.59
Arizona,Yes,14.2
Arkansas,Yes,16.93
California,No,7.89
Colorado,Yes,11.75
Connecticut,Yes,4.48
Delaware,Yes,10.8
Florida,No,12.49
Georgia,Yes,12.63
Hawaii,No,2.71
Idaho,Yes,14.08
Illinois,No,8.67
Indiana,Yes,13.04
Iowa,Yes,8.19
Kansas,Yes,11.44
Kentucky,Yes,14.15
Louisiana,Yes,19.15
Maine,Yes,11.89
Maryland,Yes,9.75
Massachusetts,Yes,3.18
Michigan,Yes,12.03
Minnesota,Yes,7.88
Mississippi,Yes,17.55
Missouri,Yes,14.56
Montana,Yes,16.94
Nebraska,Yes,8.99
Nevada,Yes,14.16
New Hampshire,Yes,7.03
New Jersey,Yes,5.69
New Mexico,Yes,15.63
New York,No,4.39
North Carolina,Yes,12.42
North Dakota,Yes,11.89
Ohio,Yes,11.14
Oklahoma,Yes,16.41
Oregon,Yes,11.76
Pennsylvania,Yes,11.36
Rhode Island,,5.33
South Carolina,No,15.6
South Dakota,Yes,9.47
Tennessee,Yes,15.86
Texas,Yes,10.5
Utah,Yes,11.69
Vermont,Yes,10.37
Virginia,Yes,10.46
Washington,Yes,9.07
West Virginia,Yes,15.1
Wisconsin,Yes,9.93
Wyoming,Yes,17.51
